dropout,seed,epoch,layer,stable_rank,test_acc
0.2,8,1,layer2,2.4472145591526995,0.1366
0.2,8,1,layer4,2.7224823506388556,0.1366
0.2,8,50,layer1,2.255548738648548,0.5884
0.2,8,50,layer2,2.808878802922577,0.5884
0.2,8,50,layer4,4.01366792986787,0.5884
0.2,8,100,layer1,2.2587958276892866,0.7702
0.2,8,100,layer2,2.956699142159111,0.7702
0.2,8,100,layer4,3.780740754213148,0.7702
0.2,9,1,layer1,2.3387357396840347,0.1283
0.2,9,1,layer2,2.185580579576478,0.1283
0.2,9,1,layer4,3.211965586332453,0.1283
0.2,9,50,layer1,2.8750554630672926,0.5832
0.2,9,50,layer2,3.0854813233584264,0.5832
0.2,9,50,layer4,3.8109632743896977,0.5832
0.2,9,100,layer1,2.866937384852892,0.7717
0.2,9,100,layer2,3.1379352120134523,0.7717
0.2,9,100,layer4,3.798072544191334,0.7717
0.3,0,1,layer1,2.281794661568329,0.1272
0.3,0,1,layer2,2.650978903898594,0.1272
0.3,0,1,layer4,2.8949446909274017,0.1272
0.3,0,50,layer1,2.5105933722727563,0.5621
0.3,0,50,layer2,2.974476469471843,0.5621
0.3,0,50,layer4,3.8179634717904904,0.5621
0.3,0,100,layer1,2.424307065829817,0.7636
0.3,0,100,layer2,3.0062197926177268,0.7636
0.3,0,100,layer4,3.8403885460437546,0.7636
0.3,1,1,layer1,2.2691919631015987,0.1253
0.3,1,1,layer2,2.22123651655014,0.1253
0.3,1,1,layer4,2.7890747602071215,0.1253
0.3,1,50,layer1,2.538977489944552,0.5851
0.3,1,50,layer2,2.701700165410594,0.5851
0.3,1,50,layer4,4.170635829217205,0.5851
0.3,1,100,layer1,2.393332942870196,0.7629
0.3,1,100,layer2,2.761283388979811,0.7629
0.3,1,100,layer4,3.769510797047069,0.7629
0.3,2,1,layer1,2.4908182991702015,0.1197
0.3,2,1,layer2,2.1543892943048,0.1197
0.3,2,1,layer4,2.98027328065619,0.1197
0.3,2,50,layer1,2.6067218089823085,0.557
0.3,2,50,layer2,2.6060245779560063,0.557
0.3,2,50,layer4,3.9230099900843824,0.557
0.3,2,100,layer1,2.622080785553033,0.7639
0.3,2,100,layer2,2.7976754360850604,0.7639
0.3,2,100,layer4,3.8541368489506955,0.7639
0.3,3,1,layer1,2.2233566275911376,0.099
0.3,3,1,layer2,2.0081667043754883,0.099
0.3,3,1,layer4,3.167231471203148,0.099
0.3,3,50,layer1,2.07298183625146,0.5498
0.3,3,50,layer2,2.669879669525103,0.5498
0.3,3,50,layer4,3.6736625216022962,0.5498
0.3,3,100,layer1,2.063192262568227,0.7562
0.3,3,100,layer2,2.72817295144501,0.7562
0.3,3,100,layer4,3.7499398068253904,0.7562
0.3,4,1,layer1,2.3138399719730933,0.0929
0.3,4,1,layer2,2.1790515882633947,0.0929
0.3,4,1,layer4,3.0945257495938088,0.0929
0.3,4,50,layer1,2.6196725393381635,0.5548
0.3,4,50,layer2,3.2925723477147835,0.5548
0.3,4,50,layer4,3.947765593019038,0.5548
0.3,4,100,layer1,2.6414982396686995,0.7632
0.3,4,100,layer2,3.332614002942759,0.7632
0.3,4,100,layer4,3.820015157384643,0.7632
0.3,5,1,layer1,2.222625725964001,0.1271
0.3,5,1,layer2,2.480926353752703,0.1271
0.3,5,1,layer4,2.656021253603069,0.1271
0.3,5,50,layer1,1.9942352783809782,0.5632
0.3,5,50,layer2,3.064522254786904,0.5632
0.3,5,50,layer4,3.9531147380389644,0.5632
0.3,5,100,layer1,1.9328510439412199,0.7602
0.3,5,100,layer2,3.054886955878912,0.7602
0.3,5,100,layer4,3.849249994990032,0.7602
0.3,6,1,layer1,2.1893808837608284,0.1281
0.3,6,1,layer2,2.362381018130639,0.1281
